close,time,rsi,so,wr,emacd
1.92684,5/13/2021 21:35,59.22,79.11,-20.89,-0.006551146
1.91691,5/13/2021 21:40,58.8,63.36,-36.64,-0.006426426
1.93395,5/13/2021 21:45,55.43,90.4,-9.6,-0.006659874
1.93396,5/13/2021 21:50,55.97,88.97,-11.03,-0.006016328
1.945,5/13/2021 21:55,53.68,94.8,-5.2,-0.004741351
1.93056,5/13/2021 22:00,52.17,71.24,-28.76,-0.002965734
1.91976,5/13/2021 22:05,51.19,45.35,-54.65,1.40E-05
1.91665,5/13/2021 22:10,50.9,39.37,-60.63,0.002763382
1.92657,5/13/2021 22:15,48.91,58.44,-41.56,0.00318463
1.94804,5/13/2021 22:20,49.93,98.15,-1.85,0.002916602
1.94883,5/13/2021 22:25,51.32,97.83,-2.17,0.000806082
1.96359,5/13/2021 22:30,53.54,98.39,-1.61,-0.000590463
1.96994,5/13/2021 22:35,55.91,85.17,-14.83,-0.000839472
1.95547,5/13/2021 22:40,54.32,64.49,-35.51,-0.001697232
1.92323,5/13/2021 22:45,43.17,14.79,-85.21,-6.23E-05
1.90831,5/13/2021 22:50,41.98,2.09,-97.91,0.002217839
1.902,5/13/2021 22:55,42.87,7.34,-92.66,0.005735659
1.87888,5/13/2021 23:00,38.02,18.37,-81.63,0.008174751
1.88539,5/13/2021 23:05,37.6,23.48,-76.52,0.008828642
1.90215,5/13/2021 23:10,40.05,36.65,-63.35,0.008270265
1.90539,5/13/2021 23:15,35.94,39.2,-60.8,0.007731413
1.88976,5/13/2021 23:20,33.24,26.92,-73.08,0.009435234
1.90442,5/13/2021 23:25,35.39,38.43,-61.57,0.010700149
1.90516,5/13/2021 23:30,35.9,39.02,-60.98,0.012360469
1.92439,5/13/2021 23:35,41.43,54.12,-45.88,0.014052872
1.93135,5/13/2021 23:40,39.31,59.59,-40.41,0.014041329
1.92617,5/13/2021 23:45,42.96,61.14,-38.86,0.011162962
1.93344,5/13/2021 23:50,41.21,75.38,-24.62,0.00745193
1.92948,5/13/2021 23:55,48.43,84.72,-15.28,0.003103839
1.95058,5/14/2021 0:00,52.45,100,0,-0.003400824
1.91956,5/14/2021 0:05,44.56,67.37,-32.63,-0.007549086
1.90092,5/14/2021 0:10,45.24,44.2,-55.8,-0.00836273
1.90967,5/14/2021 0:15,45.78,44.32,-55.68,-0.008294813
1.92,5/14/2021 0:20,43.58,58.38,-41.62,-0.009072567
1.905,5/14/2021 0:25,46.37,37.97,-62.03,-0.007906305
1.916,5/14/2021 0:30,47.08,46.03,-53.97,-0.007791146
1.91866,5/14/2021 0:35,43.29,48.87,-51.13,-0.006308257
1.91197,5/14/2021 0:40,42.27,38.15,-61.85,-0.004745428
1.89653,5/14/2021 0:45,38.58,13.42,-86.58,-0.003719839
1.89616,5/14/2021 0:50,42.06,21.48,-78.52,-0.002031138
1.88228,5/14/2021 0:55,39.77,1.68,-98.32,0.000814612
1.88257,5/14/2021 1:00,37.77,13.39,-86.61,0.005379075
1.88381,5/14/2021 1:05,33.22,14.96,-85.04,0.007025578
1.89145,5/14/2021 1:10,27.7,25.05,-74.95,0.007426304
1.89246,5/14/2021 1:15,29.31,40.08,-59.92,0.007833303
1.89803,5/14/2021 1:20,34.98,51.02,-48.98,0.007944293
1.89796,5/14/2021 1:25,31.32,50.88,-49.12,0.006607983
1.89476,5/14/2021 1:30,32.6,44.6,-55.4,0.006676501
1.89206,5/14/2021 1:35,38.63,39.29,-60.71,0.006421385
1.88223,5/14/2021 1:40,31.76,19.98,-80.02,0.006105653
1.87577,5/14/2021 1:45,32.41,19.74,-80.26,0.004587449
1.87839,5/14/2021 1:50,28.54,26.32,-73.68,0.002967949
1.89309,5/14/2021 1:55,40.73,70.13,-29.87,0.000113879
1.88824,5/14/2021 2:00,39.99,61.19,-38.81,-0.002343094
1.8886,5/14/2021 2:05,44.06,62.11,-37.89,-0.004155379
1.89254,5/14/2021 2:10,47.26,71.22,-28.78,-0.006028385
1.91292,5/14/2021 2:15,55.73,82.14,-17.86,-0.007101022
