opentime,open,high,low,close,volume,closetime,qav,trades,tbbav,tbqav,ignore
2020-03-01 10:05:00,8558.92000000,8558.92000000,8558.92000000,8558.92000000,0.00833800,2020-03-01 10:09:59.999000,71.36427496,2,0.00000000,0.00000000,0
2020-03-01 10:10:00,8558.10000000,8566.89000000,8558.10000000,8564.14000000,0.05152700,2020-03-01 10:14:59.999000,441.09725849,6,0.01645100,140.91334289,0
2020-03-01 10:15:00,8564.14000000,8564.14000000,8564.14000000,8564.14000000,0.00000000,2020-03-01 10:19:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 10:20:00,8572.26000000,8572.26000000,8572.26000000,8572.26000000,0.01202900,2020-03-01 10:24:59.999000,103.11571554,1,0.00000000,0.00000000,0
2020-03-01 10:25:00,8562.21000000,8562.21000000,8562.21000000,8562.21000000,0.03501600,2020-03-01 10:29:59.999000,299.81434536,1,0.03501600,299.81434536,0
2020-03-01 10:30:00,8562.21000000,8562.21000000,8562.21000000,8562.21000000,0.00000000,2020-03-01 10:34:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 10:35:00,8562.21000000,8562.21000000,8562.21000000,8562.21000000,0.00000000,2020-03-01 10:39:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 10:40:00,8562.21000000,8562.21000000,8562.21000000,8562.21000000,0.00000000,2020-03-01 10:44:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 10:45:00,8562.21000000,8562.21000000,8562.21000000,8562.21000000,0.00000000,2020-03-01 10:49:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 10:50:00,8580.43000000,8580.43000000,8580.43000000,8580.43000000,0.00134100,2020-03-01 10:54:59.999000,11.50635663,1,0.00134100,11.50635663,0
2020-03-01 10:55:00,8580.43000000,8580.43000000,8580.43000000,8580.43000000,0.00000000,2020-03-01 10:59:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 11:00:00,8580.43000000,8580.43000000,8580.43000000,8580.43000000,0.00000000,2020-03-01 11:04:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 11:05:00,8567.37000000,8567.37000000,8559.26000000,8559.26000000,0.12189400,2020-03-01 11:09:59.999000,1043.53027732,4,0.01167200,99.99834264,0
2020-03-01 11:10:00,8559.26000000,8559.26000000,8559.26000000,8559.26000000,0.00000000,2020-03-01 11:14:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 11:15:00,8559.26000000,8559.26000000,8559.26000000,8559.26000000,0.00000000,2020-03-01 11:19:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 11:20:00,8573.85000000,8573.85000000,8573.85000000,8573.85000000,0.01633700,2020-03-01 11:24:59.999000,140.07098745,1,0.00000000,0.00000000,0
2020-03-01 11:25:00,8573.07000000,8573.07000000,8573.07000000,8573.07000000,0.00466700,2020-03-01 11:29:59.999000,40.01051769,1,0.00000000,0.00000000,0
2020-03-01 11:30:00,8573.07000000,8573.07000000,8573.07000000,8573.07000000,0.00000000,2020-03-01 11:34:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 11:35:00,8574.83000000,8574.83000000,8574.83000000,8574.83000000,0.01769600,2020-03-01 11:39:59.999000,151.74019168,1,0.00000000,0.00000000,0
2020-03-01 11:40:00,8593.71000000,8604.97000000,8593.71000000,8604.97000000,0.03667700,2020-03-01 11:44:59.999000,315.42291431,8,0.01439100,123.75606315,0
2020-03-01 11:45:00,8623.12000000,8623.12000000,8623.12000000,8623.12000000,0.00135400,2020-03-01 11:49:59.999000,11.67570448,1,0.00135400,11.67570448,0
2020-03-01 11:50:00,8636.07000000,8644.49000000,8631.14000000,8633.53000000,0.02143200,2020-03-01 11:54:59.999000,185.05091804,4,0.02003200,172.96732204,0
2020-03-01 11:55:00,8638.49000000,8638.49000000,8638.49000000,8638.49000000,0.06767800,2020-03-01 11:59:59.999000,584.63572622,1,0.00000000,0.00000000,0
2020-03-01 12:00:00,8657.47000000,8746.82000000,8657.47000000,8728.84000000,2.12485600,2020-03-01 12:04:59.999000,18557.88201717,29,0.75125200,6554.64647989,0
2020-03-01 12:05:00,8740.69000000,8740.69000000,8700.99000000,8721.98000000,0.69317700,2020-03-01 12:09:59.999000,6042.57966116,13,0.65851300,5740.27440947,0
2020-03-01 12:10:00,8721.98000000,8721.98000000,8721.98000000,8721.98000000,0.00000000,2020-03-01 12:14:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 12:15:00,8724.37000000,8724.37000000,8682.46000000,8682.46000000,0.93101200,2020-03-01 12:19:59.999000,8096.60062347,10,0.02242100,195.20529756,0
2020-03-01 12:20:00,8697.19000000,8698.52000000,8697.19000000,8698.52000000,0.01608900,2020-03-01 12:24:59.999000,139.93367442,2,0.01608900,139.93367442,0
2020-03-01 12:25:00,8698.52000000,8698.52000000,8698.52000000,8698.52000000,0.00000000,2020-03-01 12:29:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 12:30:00,8698.52000000,8698.52000000,8698.52000000,8698.52000000,0.00000000,2020-03-01 12:34:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 12:35:00,8650.59000000,8656.41000000,8650.59000000,8654.07000000,1.15606800,2020-03-01 12:39:59.999000,10002.71743156,4,1.15606800,10002.71743156,0
2020-03-01 12:40:00,8655.00000000,8656.60000000,8614.33000000,8614.33000000,0.54684100,2020-03-01 12:44:59.999000,4732.50007146,12,0.50000000,4327.56056328,0
2020-03-01 12:45:00,8609.84000000,8631.03000000,8609.84000000,8631.03000000,0.06059500,2020-03-01 12:49:59.999000,522.83363855,6,0.03592500,309.98967945,0
2020-03-01 12:50:00,8600.58000000,8600.58000000,8580.12000000,8584.65000000,1.23470800,2020-03-01 12:54:59.999000,10599.88228779,10,1.16362700,9989.27109015,0
2020-03-01 12:55:00,8586.77000000,8586.77000000,8573.89000000,8573.89000000,0.01478000,2020-03-01 12:59:59.999000,126.75704928,3,0.00000000,0.00000000,0
2020-03-01 13:00:00,8559.51000000,8562.01000000,8559.51000000,8562.01000000,0.03638200,2020-03-01 13:04:59.999000,311.49969032,2,0.03503900,300.00426839,0
2020-03-01 13:05:00,8560.28000000,8568.26000000,8540.64000000,8548.87000000,1.41868100,2020-03-01 13:09:59.999000,12145.72136889,13,0.52739500,4516.65339868,0
2020-03-01 13:10:00,8548.87000000,8548.87000000,8548.87000000,8548.87000000,0.00000000,2020-03-01 13:14:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 13:15:00,8563.07000000,8568.87000000,8563.07000000,8568.87000000,0.04542400,2020-03-01 13:19:59.999000,389.14177808,2,0.01561600,133.72090112,0
2020-03-01 13:20:00,8567.17000000,8576.73000000,8567.17000000,8576.73000000,0.60251700,2020-03-01 13:24:59.999000,5167.36132409,2,0.60251700,5167.36132409,0
2020-03-01 13:25:00,8591.09000000,8591.09000000,8590.44000000,8590.44000000,0.06819200,2020-03-01 13:29:59.999000,585.83528148,2,0.05538000,475.77456420,0
2020-03-01 13:30:00,8573.92000000,8574.00000000,8572.53000000,8572.53000000,0.23733800,2020-03-01 13:34:59.999000,2034.87116446,3,0.20233200,1734.78117928,0
2020-03-01 13:35:00,8572.53000000,8572.53000000,8572.53000000,8572.53000000,0.00000000,2020-03-01 13:39:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 13:40:00,8572.53000000,8572.53000000,8572.53000000,8572.53000000,0.00000000,2020-03-01 13:44:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 13:45:00,8591.62000000,8591.62000000,8591.62000000,8591.62000000,0.00141200,2020-03-01 13:49:59.999000,12.13136744,1,0.00141200,12.13136744,0
2020-03-01 13:50:00,8605.21000000,8618.00000000,8605.21000000,8618.00000000,0.10849000,2020-03-01 13:54:59.999000,934.45458471,4,0.01972600,169.95172012,0
2020-03-01 13:55:00,8618.00000000,8618.00000000,8603.44000000,8609.00000000,0.32526200,2020-03-01 13:59:59.999000,2802.29394161,10,0.01694700,145.80249768,0
2020-03-01 14:00:00,8616.68000000,8616.68000000,8616.68000000,8616.68000000,0.01831300,2020-03-01 14:04:59.999000,157.79726084,1,0.00000000,0.00000000,0
2020-03-01 14:05:00,8616.68000000,8616.68000000,8616.68000000,8616.68000000,0.00000000,2020-03-01 14:09:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-03-01 14:10:00,8616.68000000,8616.68000000,8616.68000000,8616.68000000,0.00000000,2020-03-01 14:14:59.999000,0.00000000,0,0.00000000,0.00000000,0
